conre,cnpj
7,"15.625.058/0001-06"
7,"44.338.241/0001-10"
7,"01.864.538/0001-07"
7,"04.942.645/0001-02"
7,"55.167.539/0001-21"
7,"33.342.093/0001-91"
7,"22.267.969/0001-66"
7,"08.097.343/0001-28"
7,"50.023.174/0001-48"
7,"11.801.138/0001-06"
7,"09.192.278/0001-82"
7,"41.156.270/0001-73"
7,"17.929.047/0001-37"
7,"24.302.422/0001-80"
7,"36.757.932/0001-20"
7,"14.614.894/0001-14"
7,"10.572.939/0001-84"
7,"34.587.527/0001-86"
7,"02.070.887/0001-10"
7,"52.182.942/0001-31"
7,"05.255.333/0001-85"
7,"33.059.942/0001-02"
7,"06.538.481/0001-70"
5,DATAMETRICA
4,LONDON
4,ANGULO
3,NILTON
2,GERP
3,VOX POPULI
6,MULTIDADOS
6,PROMIDIA
3,FUTURA
3,RANKING
3,REAL TIME
3,IDEIA
Manual,"19.259.002/0001-28"
